,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chapais,49.7834,-74.8492,-22.41,100,100,0.84,CA,1639542663
1,longyearbyen,78.2186,15.6401,-2.09,74,0,8.23,SJ,1639542663
2,rikitea,-23.1203,-134.9692,25.83,69,19,1.5,PF,1639542664
3,padang,-0.9492,100.3543,29.03,80,96,2.92,ID,1639542651
4,mount isa,-20.7333,139.5,41.87,17,4,3.6,AU,1639542664
5,bredasdorp,-34.5322,20.0403,14.6,73,100,4.57,ZA,1639542664
6,aleysk,52.4926,82.7822,-16.37,91,37,4.58,RU,1639542664
7,atuona,-9.8,-139.0333,26.04,73,46,7.19,PF,1639542428
8,lebu,-37.6167,-73.65,11.34,83,0,7.09,CL,1639542665
9,ushuaia,-54.8,-68.3,8.81,66,40,10.29,AR,1639542666
10,znamenskoye,57.1281,73.8282,-6.88,95,100,3.49,RU,1639542666
11,hasaki,35.7333,140.8333,12.94,53,0,2.26,JP,1639542666
12,chokurdakh,70.6333,147.9167,-29.54,95,100,2.65,RU,1639542666
13,mar del plata,-38.0023,-57.5575,20.05,86,0,0.89,AR,1639542667
14,port alfred,-33.5906,26.891,20.75,79,6,6.21,ZA,1639542668
15,mazatlan,23.2167,-106.4167,23.34,92,75,1.79,MX,1639542375
16,tucurui,-3.7661,-49.6725,24.12,92,77,1.68,BR,1639542668
17,zhigansk,66.7697,123.3711,-43.08,99,95,1.58,RU,1639542669
18,mataura,-46.1927,168.8643,18.6,60,100,4.67,NZ,1639542669
19,ust-shonosha,61.1531,41.343,-3.35,92,100,4.3,RU,1639542511
20,petropavlovsk-kamchatskiy,53.0452,158.6483,-1.67,51,20,6.0,RU,1639542670
21,codrington,-38.2667,141.9667,18.22,53,7,5.69,AU,1639542670
22,tuktoyaktuk,69.4541,-133.0374,-27.0,76,90,3.09,CA,1639542670
23,shenzhen,22.5455,114.0683,23.41,78,87,2.46,CN,1639542410
24,kouango,4.9934,19.9619,23.49,42,99,0.72,CF,1639542671
25,nikolskoye,59.7035,30.7861,2.71,95,100,3.41,RU,1639542671
26,nishihara,26.1842,127.7558,22.03,56,20,6.17,JP,1639542601
27,east london,-33.0153,27.9116,19.52,88,0,3.6,ZA,1639542671
28,lata,40.1629,-8.3327,8.23,67,70,1.95,PT,1639542671
29,cherskiy,68.75,161.3,-27.54,79,100,2.39,RU,1639542672
30,avarua,-21.2078,-159.775,28.03,78,20,5.14,CK,1639542672
31,tual,-5.6667,132.75,29.27,68,56,2.99,ID,1639542672
32,kushiro,42.975,144.3747,9.53,49,75,3.6,JP,1639542593
33,castro,-24.7911,-50.0119,18.9,99,100,2.35,BR,1639542673
34,marawi,7.9986,124.2928,22.03,80,88,2.76,PH,1639542673
35,hobart,-42.8794,147.3294,24.51,62,40,0.89,AU,1639542603
36,cape town,-33.9258,18.4232,17.29,76,75,1.34,ZA,1639542612
37,punta arenas,-53.15,-70.9167,9.06,76,75,8.23,CL,1639542674
